model_name,query_id,doc_id,latency_seconds,input_tokens,output_tokens,reasoning_tokens,inference_speed_tps,cost_dollars
glm-5.1,23ce0f59,angst,37.9849,2485,1684,0,44.33,0.00762
glm-5.1,4def0aac,dementie,17.1911,313,931,0,54.16,0.00317
glm-5.1,44e0a545,depressie,25.9279,7613,800,0,30.85,0.00992
glm-5.1,07334ff6,hand-en-polsklachten,16.1832,137,528,0,32.63,0.00176
glm-5.1,552f0a54,chronische nierschade,38.1913,1702,1908,0,49.96,0.00754
glm-5.1,ea65db45,COPD,85.6177,4140,535,0,6.25,0.00571
glm-5.1,9d934fe5,hand-en-polsklachten,17.5692,1240,2021,0,115.03,0.00744
glm-5.1,cdd4a01d,influenza,25.9679,147,1244,0,47.91,0.00398
glm-5.1,67f73762,COPD,25.5745,1883,834,0,32.61,0.00441
glm-5.1,e4aefe9a,chronische nierschade,23.605,880,1677,0,71.04,0.00603
glm-5.1,78c1b535,hand-en-polsklachten,13.0958,2715,487,0,37.19,0.00416
glm-5.1,91505631,dementie,39.075,1214,1976,0,50.57,0.00728
glm-5.1,1caa5527,depressie,39.5937,686,1640,0,41.42,0.00572
glm-5.1,df29f8be,hand-en-polsklachten,31.5361,1375,1906,0,60.44,0.00722
glm-5.1,77e5a3eb,influenza,47.3889,154,1833,0,38.68,0.00580
glm-5.1,aad983fe,chronische nierschade,315.5179,523,1099,0,3.48,0.00390
